,0
cramps_rstd,0.06222790926729028
resting_heart_rate_z,0.059066315284732926
nightly_temperature_roll7_mean,0.04655393544738874
resting_heart_rate_roll7_mean,0.04301537790492304
baseline_relative_nightly_standard_deviation_roll7_mean,0.04108234039395885
full_sleep_breathing_rate_roll7_mean,0.04084083771188836
rmssd_mean_roll7_mean,0.04052313667180347
baseline_relative_nightly_standard_deviation_z,0.04004977472773078
rmssd_mean_roll7_std,0.038096949262368465
overall_score_roll7_mean,0.03758273879910991
baseline_relative_nightly_standard_deviation_roll7_std,0.0370952621114337
full_sleep_breathing_rate_z,0.036207224590641976
resting_heart_rate_roll7_std,0.0357488770561186
full_sleep_breathing_rate_roll7_std,0.0349276964476454
overall_score_roll7_std,0.034395037275380035
nightly_temperature_roll7_std,0.033931998202085596
nightly_temperature_z,0.03283090509608074
rmssd_mean_z,0.032108002619339854
sorebreasts_rstd,0.028053473143327016
fatigue_rstd,0.025464978486359303
