,0
resting_heart_rate_z,0.0735948185582514
nightly_temperature_roll7_mean,0.0700261922748504
resting_heart_rate_roll7_mean,0.06333398337450839
full_sleep_breathing_rate_roll7_mean,0.06141202346417394
rmssd_mean_roll7_mean,0.05853090453407677
baseline_relative_nightly_standard_deviation_roll7_mean,0.05841195492016382
baseline_relative_nightly_standard_deviation_z,0.05741851375365466
rmssd_mean_roll7_std,0.05596180881708241
baseline_relative_nightly_standard_deviation_roll7_std,0.05525116263581856
resting_heart_rate_roll7_std,0.0551579301945466
overall_score_roll7_mean,0.05429588737381781
full_sleep_breathing_rate_roll7_std,0.05201091315629183
nightly_temperature_roll7_std,0.05147909174513233
overall_score_roll7_std,0.050301968980716316
full_sleep_breathing_rate_z,0.05002393861405185
rmssd_mean_z,0.04965281201685553
nightly_temperature_z,0.04662924717491753
overall_score_z,0.036506848411089865
