,0
days_since_bleed,0.2120528889269101
resting_heart_rate_z,0.0450893524835202
cramps_rstd,0.04259541558233489
nightly_temperature_roll7_mean,0.03822535443521545
resting_heart_rate_roll7_mean,0.03608380105566573
full_sleep_breathing_rate_roll7_mean,0.034036118174028504
baseline_relative_nightly_standard_deviation_z,0.032400133265834144
rmssd_mean_roll7_mean,0.0320177785989294
baseline_relative_nightly_standard_deviation_roll7_mean,0.03184601799429746
rmssd_mean_roll7_std,0.030707282250898648
baseline_relative_nightly_standard_deviation_roll7_std,0.02982054131472104
overall_score_roll7_mean,0.0296880775196602
full_sleep_breathing_rate_z,0.029270797017648283
overall_score_roll7_std,0.027702508744382754
resting_heart_rate_roll7_std,0.027308863885956932
full_sleep_breathing_rate_roll7_std,0.02688789720965012
nightly_temperature_z,0.026740295093158954
nightly_temperature_roll7_std,0.02616669339914152
rmssd_mean_z,0.025844200532559005
fatigue_rstd,0.02111438553366579
