,0
days_since_bleed,0.2657586220178511
resting_heart_rate_z,0.055927939848248794
nightly_temperature_roll7_mean,0.05146335456144907
resting_heart_rate_roll7_mean,0.047638848162492954
full_sleep_breathing_rate_roll7_mean,0.04619680573792344
rmssd_mean_roll7_mean,0.042980677107252716
baseline_relative_nightly_standard_deviation_roll7_mean,0.04255211569781044
baseline_relative_nightly_standard_deviation_z,0.04235675075035365
rmssd_mean_roll7_std,0.041755898658106125
overall_score_roll7_mean,0.03976575816189102
baseline_relative_nightly_standard_deviation_roll7_std,0.03932471277267357
resting_heart_rate_roll7_std,0.03894608489350455
overall_score_roll7_std,0.03825927637768446
full_sleep_breathing_rate_z,0.0373202544184557
full_sleep_breathing_rate_roll7_std,0.03629851148415295
nightly_temperature_roll7_std,0.03589521580940194
rmssd_mean_z,0.03569916687369354
nightly_temperature_z,0.034887773430489044
overall_score_z,0.02697223323656494
